Last Name,First Name,Rank,adloc,Location,Link to Google Scholar Profile,Citations (All),h-index (All),i10-index (All),Citations (Since 2021),h-index (Since 2021),i10-index (Since 2021),Last Updated
Aburto,Felipe,Associate Professor,Tenure-Track,College Station,https://scholar.google.com/citations?hl=en&user=zxokCVwAAAAJ&view_op=list_works&sortby=pubdate,1574,17,30,1470,17,27,2026-09-24 20:36:58
Baath,Gurjinder,Assistant Professor,Research,Temple,https://scholar.google.com/citations?user=Q-givk4AAAAJ&hl=en,831,16,21,749,16,21,2026-09-24 20:37:03
Bagavathiannan,Muthu,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=qUomLPAAAAAJ&hl=en&oi=sra,8468,49,127,6388,42,116,2026-09-24 20:37:09
Baltensperger,David,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=zGMb2OcAAAAJ&hl=en&oi=ao,6581,38,99,2159,21,36,2026-09-24 20:37:15
Bednarz,Craig,Professor,Research,Lubbock,https://scholar.google.com/citations?hl=en&user=n4TqYW4AAAAJ&view_op=list_works&sortby=pubdate,4902,32,58,1512,20,32,2026-09-24 20:37:22
Bell,Jourdan,Associate Professor,Extension,Canyon,https://scholar.google.com/citations?user=7cDhJxoAAAAJ,887,18,22,565,15,20,2026-09-24 20:37:30
Bhandari,Mahendra,Assistant Professor,Research,Corpus Christi,https://scholar.google.com/citations?hl=en&user=pAk1jSAAAAAJ&view_op=list_works&sortby=pubdate,1515,15,19,1480,15,16,2026-09-24 20:37:35
Boeri,Pablo Agustin,Assistant Professor,Extension,Dallas,https://scholar.google.com/citations?hl=en&user=TmeTV7IAAAAJ,77,6,4,76,6,4,2026-09-24 20:37:40
Brady,Jeff,Assistant Professor,Research,Stephenville,https://scholar.google.com/citations?user=wCX7WSMAAAAJ&hl=en,2010,16,29,872,12,16,2026-09-24 20:37:46
Brandani,Carolina,Assistant Professor,Research,Canyon,https://scholar.google.com/citations?hl=en&user=vz9tFy4AAAAJ,979,16,23,716,14,21,2026-09-24 20:37:52
Burke,Joseph,Assistant Professor,Research,Lubbock,https://scholar.google.com/citations?user=b41dGVUAAAAJ&hl=en,410,6,6,382,6,6,2026-09-24 20:37:56
